-32	-29	-27	-16	-3	-35	-10	-24	-11	-35	-3	-38	3	-29	-20	-11	-1	-41	-17	-35	-41	-42	-24	-31	-21	-35	-14	-39	-31	-7	-26	-2	-23	-42	-1	-4	-13	-2	-29	-27	-26	-3	-2	-3	3	-28	-20	-7	-13	-41	-41	-24	-33	-30	-35	-21	-28	-31	-1	-23	-20	-44	-40	-8	-43	-22	-22	-39	-30	-22	-1	-11	-9	-45	-13	-23	-31	-21	-17	-9	-41	-12	-6	-19	-19	-34	-17	-20	-39	-46	-2	-6	-14	-42	-22	-12	-35	-20	-26	-23	-15	-10	-30	-2	-39	-7	-46	-14	-34	-17	-42	-20	-39	-23	-34	-18	-6	-38	-41	-24	-37	-5	-13	-17	-32	-11	-26	-38	-5	-27	-4	-2	-17	-10	-5	-13	-15	-15	-14	-25	-11	-32	-41	-22	-30	-32	-1	-5	-38	-27	-37	-4	-18	-38	-42	-17	-36	-33	-31	-34	-6	-24	-37	-39	-28	-23	-7	-2	-18	-13	-23	-39	-33	-35	-19	-21	-24	-31	-4	-22	-20	-10	-9	-42	-15	-4	-2	-40	3	-30	-26	-15	-14	-21	-2	-1	-45	0	-5	-26	
-9	-38	-21	-35	-9	-26	-21	-41	-34	-27	-5	-44	-40	-12	-25	-9	-22	-1	-36	-15	-35	-38	-12	-12	-37	-31	-9	-6	-1	-28	-15	-42	-33	-41	-38	-8	-11	-26	-42	-11	-39	-14	-5	-32	-22	-24	-36	-10	-24	-37	-28	-34	-22	-24	-42	-11	-10	-36	-37	-9	-36	-46	-24	-12	-13	-19	-38	-21	-14	-3	-7	-25	-41	-2	-32	-35	-13	-17	-31	-19	-11	-34	-22	-10	-39	-15	-42	-40	-5	-8	-38	-29	-2	-7	-22	-2	-31	-38	-36	-20	-6	-23	-27	-13	-5	-44	-2	-15	-35	-25	-28	-14	-25	-37	-21	-31	-41	-15	-7	-36	-32	-31	-33	1	-4	-17	-26	-17	-11	-6	-34	1	-22	-34	-12	-34	-7	-35	-11	-24	-9	-37	3	-10	-46	-21	-18	-9	-44	-5	-44	-46	-44	-15	-24	-34	-28	-47	-24	-11	-34	-32	-6	-35	-21	-40	-12	-29	-41	-15	-44	-7	-11	-41	-5	-38	-11	-22	-33	-29	-40	-36	-32	-25	-4	-34	-38	-14	-17	-2	-5	-25	-21	-23	-31	-9	-14	-15	-38	-30	
-44	-21	-32	-39	-13	-28	-9	-35	-5	-16	-35	-7	-44	-27	-22	-44	-20	-20	-29	0	-10	-32	-29	-42	-19	-36	3	-5	-21	-4	1	-25	-35	-36	-23	-4	-36	-11	2	-34	-6	-37	-2	-28	-24	-7	-10	-12	-25	-2	-2	-19	-17	0	-15	-42	-35	-25	-5	-29	-26	-2	-29	-3	-41	-29	-4	-28	-5	-13	-31	-2	-45	-17	-15	-33	-24	-43	-42	-7	-13	0	-35	-1	-37	-22	-38	-20	-40	-14	-7	-24	-23	-32	-1	-40	-43	-19	-23	-43	-20	-9	-26	-35	-27	3	-28	-9	-20	-2	2	-32	-34	-6	-4	-12	-36	-39	-23	-38	-33	-3	-14	-17	-3	-14	-36	-26	-14	-31	-29	-34	-17	-21	-12	-31	-46	-16	-44	-15	-30	-28	-25	-20	-5	-38	-41	-9	-40	-32	-4	-19	-42	-29	-25	-9	-21	-19	-16	-1	-6	-44	-38	-41	-27	-8	-26	-20	-12	-10	-44	1	0	-22	-5	-31	-24	-28	-23	-35	-3	-45	-28	-26	-12	-17	-30	-41	-42	-36	-5	-5	-22	-43	-15	-3	2	-33	-48	-40	
-45	-39	-41	-31	-31	-19	-7	-13	-20	0	-27	-3	-29	-3	-10	-24	-6	-24	-17	-29	-45	-26	-32	-7	-16	-24	-25	-10	-17	-44	-20	-38	-34	-36	0	-28	-2	-7	-45	-9	-36	-15	-37	-21	-6	-43	-41	-9	-16	-42	-14	-27	-23	-14	-9	-19	-33	3	-5	-10	3	-30	-9	-14	-25	-30	-7	-1	-23	-39	-13	-37	-35	-42	-36	-10	-19	-32	-4	-16	-40	-29	-18	-26	-40	-27	-21	-20	-36	-6	-10	-38	-45	-30	-37	-29	-41	-29	-24	-2	-26	-22	-23	-3	-36	-25	-20	-18	-25	-30	-3	-42	-8	-40	-21	-13	-9	-20	-39	-28	-44	-25	-18	-43	-17	-43	-18	-2	-19	-2	-44	-28	-13	-15	-13	-21	-23	-28	-42	-10	-34	-24	-16	-42	-34	-14	-40	-28	-29	-2	-41	-29	-17	-34	-22	-32	-19	-45	-5	-3	-24	-26	-17	-39	1	-39	-9	-2	-38	-17	-3	-43	-22	-40	-38	-35	-22	-16	-18	2	-28	-6	-43	-37	-44	-31	-26	-23	-25	-7	-32	-22	-41	-8	-33	-35	-17	-30	-29	-20	
0	-39	-31	0	-13	-4	-7	-19	-47	-27	-8	-1	-38	-35	-32	-41	-8	-1	-20	-27	-5	1	-12	-22	-30	-9	-25	-43	-5	-29	-23	-31	-11	-36	-22	-35	-20	0	-7	-18	0	-38	-23	-19	-11	-35	-27	-6	-3	-39	-10	-40	-36	-10	-10	-11	-27	-34	-3	-17	-35	-23	3	-34	-13	-40	-34	0	-43	-31	-14	-9	-3	-15	-15	-34	-46	-35	-33	4	-36	-40	-47	-47	-9	-2	-24	-28	-21	-17	-43	-13	-38	-22	-3	-33	-6	-12	-10	-15	-33	-35	-12	-7	-42	-35	-30	-7	3	-4	1	-15	-36	-37	-15	-23	-1	-37	-46	-9	-1	-34	-8	-44	-5	-11	-40	-40	-20	-41	-21	3	-9	-22	-21	-11	-10	-34	-38	-11	-15	0	-42	-18	-14	-13	-41	-36	-23	-28	-28	-33	-13	-10	-19	-26	-38	1	-25	-16	-22	-16	-19	-45	-12	-43	-40	-6	-41	-12	-18	0	-23	-1	-22	-23	-1	-13	-35	-39	-30	-42	-7	-26	-23	-23	-13	-1	-27	-10	-35	-25	-36	-1	-30	-18	-18	-23	-32	-33	
-3	-43	-2	-7	-5	-37	-19	-21	-14	-19	-33	-47	-28	-7	-37	-4	-16	-5	-11	-7	-30	-24	-36	-45	-30	-38	-25	-16	-22	-29	-33	-30	-35	-9	-35	-12	-19	-23	-39	-3	-23	-22	-39	-6	-5	-6	-29	-17	-36	-7	-5	-10	-10	-27	-32	-43	-7	-8	-40	1	-31	-9	-35	-12	-24	-42	-33	-43	-48	-11	-23	-14	-35	-17	-37	-21	-35	-15	-19	-42	-39	-7	-22	-45	-20	-7	-23	-3	-20	-3	-39	-10	-21	-21	-40	-26	-19	-22	-12	-27	-14	-41	-32	-37	1	-1	-5	-20	-23	-14	-33	-16	-10	-3	-18	-21	-43	1	-40	-20	-31	-31	-28	-27	-45	-33	-15	-1	-14	-30	-7	-24	-26	-9	-10	-38	-6	-22	-16	-33	-43	-36	-28	-16	-45	-32	-12	-22	-5	-25	-3	-11	-3	-22	-18	-14	-42	0	-28	-31	-25	-33	-36	-16	-41	-27	-30	-21	-3	-8	-12	-6	-40	-7	-26	-45	-42	-22	-4	-7	-37	-31	-18	0	-19	-32	-29	-43	-19	-39	-44	-5	-31	-38	-38	-35	-27	-37	-15	-22	
-11	-38	-2	-5	-38	-4	-20	-17	0	0	-33	-30	-2	-19	-26	-5	-1	-4	-25	-12	-20	-6	-39	-19	-19	-21	-15	-18	-26	-19	-20	-29	-25	-31	-7	-27	-22	-36	-46	-24	-3	-41	-3	-36	-9	-21	-47	-20	-8	-37	-26	-11	-8	-18	-15	0	-9	-9	-13	2	-39	-20	-37	-20	-28	-19	-14	-18	-28	-17	-34	-24	-14	-22	-40	-30	-39	-6	-23	-9	1	-22	-9	-32	-39	-29	-22	-20	-36	-30	-4	-4	-3	-23	2	-12	-2	-34	-3	-12	-40	-26	-17	-40	-32	-41	-44	-33	-15	-30	-30	-46	-1	-11	-7	-6	-12	-32	-26	-29	-38	-14	-40	-15	-27	-23	-36	-19	-8	0	-10	-18	-37	-38	1	-9	-9	-42	-35	-14	-4	-20	-24	0	-25	-46	-21	-18	-27	-23	-39	-13	-18	-1	-18	-19	-30	-7	-1	-33	-13	-4	-23	-20	-14	-38	-28	-16	-39	-6	-38	-25	-40	-38	-22	-44	0	-8	-10	-12	-27	-38	-5	-4	-28	-9	-37	-44	-1	-29	1	-18	-10	-39	-19	-23	-3	-15	-37	-3	
2	-40	-10	-5	-16	-27	-19	-23	-30	-15	-20	-6	-22	-11	-36	-26	-26	-9	-6	-20	-8	-18	-10	-29	-37	-36	-9	-20	-13	-24	-9	-26	-41	-9	-35	-39	-19	-5	-29	-29	-12	-23	-21	-19	-34	-15	1	-17	-6	-8	-28	-34	-25	-29	-8	-31	-43	-5	-27	-21	-6	-37	-17	-19	-13	-2	4	-16	-29	-24	-1	-42	-29	-35	-9	-39	-15	-23	-8	-47	-25	-23	-3	-29	-29	0	-1	-7	-27	-8	-2	-4	-7	-16	-12	-40	-41	-35	-37	-35	-28	-22	-10	-43	-20	0	-7	-25	1	-18	-31	-3	-23	-19	-38	-29	-40	-34	-16	-9	-33	-13	-26	-30	-18	-31	-8	-15	-22	-7	-9	-8	-20	-12	-36	-21	-21	-27	-36	-8	-37	-43	-19	-15	-9	-5	-38	-9	-23	-21	-7	-39	-48	-5	-29	-4	-10	-3	-7	-25	-12	-20	-28	-27	-1	-11	-1	-12	-4	-2	3	-21	-14	2	-36	-13	-5	-8	-36	-7	-23	-6	-12	-31	-34	-26	-34	-9	-16	-43	-27	-16	-25	-13	-26	-15	-45	-18	-7	-22	
-43	-16	-13	-29	-24	-5	-10	-34	-45	-40	-31	-20	-29	-14	-32	-29	-14	-30	-17	-18	-30	-45	-15	-20	-18	-21	-39	-17	-6	-42	-15	-8	-8	-4	-17	-44	-6	-12	-31	-7	-13	-38	-3	-22	-32	-13	-45	-6	-7	-12	-11	-32	-24	-16	-4	-21	-31	-2	-42	-44	-13	-1	-24	-29	-34	-16	-34	-8	-31	0	-6	-39	-12	-4	-23	-38	-11	-7	-14	3	-10	-22	-32	-25	-38	-7	-8	-14	-3	3	-24	-18	-10	-37	-38	-15	-36	-32	-14	-35	-9	-7	-23	-26	-18	-24	-8	-20	-6	-43	-15	-35	-30	-21	-34	-41	-10	-7	-4	-3	-13	-46	1	-6	-34	-19	-42	-28	-34	-9	-8	-15	-31	-42	-7	-27	-20	-27	-20	-45	-26	-29	-1	-31	-32	-22	-16	-14	-33	-27	-26	-13	-14	-22	-7	-36	-10	-10	-28	-33	-24	-17	-24	-39	-26	-25	-42	-25	-8	-1	-32	-26	-21	-26	-23	-33	-39	-36	-7	-20	-36	-21	-2	-23	-1	-40	-16	-16	-17	-16	-28	-13	-20	4	-3	-10	-33	-5	-10	-26	
-10	-28	-3	-33	0	-30	-28	0	-41	-23	-15	-30	-36	-17	-46	-41	-32	-24	0	-5	-5	-25	-39	-20	-19	-22	-11	-24	-34	-45	-8	-31	-38	-9	-17	-16	-38	-14	-7	-39	-43	-29	-24	-36	-46	-39	-10	-3	-47	-26	-7	-38	-20	-23	-36	-3	-13	-10	-24	-1	0	-4	-10	-47	-28	-18	0	-29	-33	-19	-23	-32	-36	-31	-16	-30	-16	-2	-17	-21	-31	-33	-2	-30	-27	-27	-14	-9	-4	-19	2	-25	-2	-30	-16	-35	-37	-27	0	-11	-22	-6	-34	-20	2	-23	-24	-43	-42	-29	-17	-13	-15	-24	-33	-19	-7	-19	-26	-40	-41	-37	-27	-32	-26	-5	-20	-47	2	-9	-23	-24	-19	-24	-36	-22	-23	-41	-3	-28	-43	-2	-31	-13	-19	-25	-30	-24	-6	1	-41	-10	-14	-36	-2	-39	-3	-40	-44	-35	-31	-24	-22	-20	-6	-14	-9	-39	-26	-24	-16	-35	-30	-31	0	-36	-43	-3	-11	-38	-16	-4	-26	-36	-24	-20	-43	-14	-14	-27	-3	-11	-37	-27	-8	-34	-34	-2	-1	-5	
